                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.5605,                 1.5622,                 2.1967,                0.76414,                0.87906,                0.87709,                0.49245,                 1.5505,                 1.1763,                 2.1854,             0.00083954,             0.00083954,             0.00083954
                    128,                 1.5363,                 1.4991,                 2.1648,                0.81034,                    0.8,                0.87583,                0.49653,                 1.4732,                  1.238,                 2.1803,             0.00083482,             0.00083482,             0.00083482
                    129,                 1.4909,                  1.499,                 2.1317,                0.77652,                0.82736,                0.86102,                0.48289,                 1.5628,                 1.3014,                 2.2466,             0.00083011,             0.00083011,             0.00083011
                    130,                 1.5789,                 1.5524,                 2.2035,                0.83334,                0.67548,                0.83606,                0.46607,                 1.6353,                 1.3515,                 2.3433,             0.00082539,             0.00082539,             0.00082539
                    131,                 1.5769,                  1.532,                 2.1853,                0.69692,                    0.7,                0.79158,                0.44466,                 1.6459,                 1.4013,                 2.4054,             0.00082067,             0.00082067,             0.00082067
                    132,                 1.5931,                 1.6169,                 2.2709,                0.84344,                0.69685,                0.81182,                0.45615,                 1.5553,                 1.3006,                 2.3464,             0.00081596,             0.00081596,             0.00081596
                    133,                 1.5041,                 1.5213,                 2.1696,                 0.8505,                 0.8389,                0.90306,                0.50654,                 1.4407,                 1.3191,                 2.2399,             0.00081124,             0.00081124,             0.00081124
                    134,                 1.4934,                 1.5472,                 2.1416,                 0.8627,                0.76667,                0.85316,                0.48722,                 1.5058,                 1.3248,                 2.3704,             0.00080653,             0.00080653,             0.00080653
                    135,                 1.5495,                 1.5129,                 2.2111,                0.86265,                0.76667,                0.87236,                0.47736,                 1.4354,                 1.3836,                 2.2856,             0.00080181,             0.00080181,             0.00080181
                    136,                 1.5213,                 1.5042,                 2.1399,                0.73295,                0.73333,                0.84924,                0.47266,                 1.4568,                 1.5271,                 2.2723,              0.0007971,              0.0007971,              0.0007971
                    137,                 1.5417,                 1.6381,                 2.2102,                0.83276,                    0.7,                0.78261,                0.42423,                 1.5093,                 1.3768,                 2.3672,             0.00079238,             0.00079238,             0.00079238
                    138,                 1.4527,                 1.5323,                 2.1204,                0.58874,                0.88513,                0.73224,                0.43394,                 1.4467,                 1.4277,                 2.2663,             0.00078766,             0.00078766,             0.00078766
                    139,                 1.4936,                 1.4649,                 2.1351,                 0.6096,                0.83333,                0.83439,                0.46776,                 1.4789,                 1.3143,                 2.3148,             0.00078295,             0.00078295,             0.00078295
                    140,                 1.4963,                  1.406,                  2.149,                0.72685,                0.81903,                0.83229,                0.44888,                 1.5886,                 1.3541,                 2.3223,             0.00077823,             0.00077823,             0.00077823
                    141,                 1.5621,                 1.4576,                 2.1856,                0.69244,                0.84005,                0.84017,                0.47649,                 1.6076,                 1.2642,                 2.2893,             0.00077352,             0.00077352,             0.00077352
                    142,                 1.4861,                 1.4569,                 2.1825,                0.85782,                0.63333,                0.78327,                0.47055,                 1.4274,                 1.3805,                 2.1626,              0.0007688,              0.0007688,              0.0007688
                    143,                 1.5016,                 1.5088,                 2.1444,                0.75187,                    0.7,                0.75339,                0.41236,                 1.5375,                 1.4971,                 2.2198,             0.00076409,             0.00076409,             0.00076409
                    144,                 1.4257,                 1.4078,                 2.1123,                0.78647,                0.71584,                0.82335,                0.47284,                 1.4019,                 1.2712,                 2.2208,             0.00075937,             0.00075937,             0.00075937
                    145,                 1.4512,                 1.4193,                 2.1228,                0.85593,                0.93106,                0.90295,                0.51069,                 1.4599,                 1.2595,                 2.2126,             0.00075465,             0.00075465,             0.00075465
